Term,negLOG2(qvalue),GeneNumber,Group,GeneRatio
Axon guidance,5.532360674,34,Up,0.187845304
Neurotrophin signaling pathway,4.274452119,24,Up,0.201680672
ErbB signaling pathway,3.334012857,18,Up,0.211764706
Endocrine resistance,3.166294977,19,Up,0.193877551
Insulin resistance,3.166294977,20,Up,0.185185185
Glioma,3.166294977,16,Up,0.213333333
MAPK signaling pathway,2.995007064,38,Up,0.128813559
EGFR tyrosine kinase inhibitor resistance,2.995007064,16,Up,0.202531646
cAMP signaling pathway,2.855605462,30,Up,0.138888889
Hepatocellular carcinoma,2.837173125,25,Up,0.148809524
Pancreatic cancer,2.837173125,15,Up,0.197368421
Chronic myeloid leukemia,2.837173125,15,Up,0.197368421
Ras signaling pathway,2.837173125,31,Up,0.13362069
Cellular senescence,2.837173125,24,Up,0.15
Amphetamine addiction,2.80877122,14,Up,0.202898551
Hepatitis B,2.80877122,24,Up,0.148148148
Spinocerebellar ataxia,2.675174502,17,Up,0.173469388
Insulin signaling pathway,2.668037707,21,Up,0.153284672
Phosphatidylinositol signaling system,2.668037707,17,Up,0.171717172
Thyroid hormone signaling pathway,2.62800079,19,Up,0.159663866
Proteoglycans in cancer,2.536829645,27,Up,0.132352941
Dopaminergic synapse,2.536829645,20,Up,0.151515152
Long-term potentiation,2.536829645,13,Up,0.194029851
Oxytocin signaling pathway,2.517242434,22,Up,0.14379085
Colorectal cancer,2.491794271,15,Up,0.174418605
Prostate cancer,2.415206566,16,Up,0.164948454
Prolactin signaling pathway,2.412457399,13,Up,0.185714286
Longevity regulating pathway,2.376065892,15,Up,0.168539326
Adrenergic signaling in cardiomyocytes,2.349698792,21,Up,0.140939597
Melanoma,2.340653413,13,Up,0.180555556
AGE-RAGE signaling pathway in diabetic complications,2.340653413,16,Up,0.16
Calcium signaling pathway,2.331862522,25,Up,0.129533679
Cholinergic synapse,2.261758444,17,Up,0.151785714
Cocaine addiction,2.19897758,10,Up,0.204081633
Renal cell carcinoma,2.051579111,12,Up,0.173913043
Gastric cancer,2.050538463,20,Up,0.134228188
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
